") for {0}","{0} üçün )"
"Employee {0} is not active or does not exist","İşçi {0} aktiv deyil və ya mövcud deyil"
"Employee {0} is on Leave on {1}","İşçi {0}, {1} tarixində Məzuniyyətdədir"
"Employee {0} on Half day on {1}","İşçi {0}, {1} tarixində Yarım gün işləyir"
"End time cannot be before start time","Bitmə vaxtı başlama vaxtından əvvəl ola bilməz"
"Evaluation","Qiymətləndirmə"
"Event Location","Tədbir Məkanı"
"Event Name","Tədbir Adı"
"Expense Claim for Vehicle Log {0}","{0} Nəqliyyat Jurnalı üçün Xərc Tələbi"
"Expense Claim {0} already exists for the Vehicle Log","Nəqliyyat Jurnalı üçün {0} Xərc Tələbi artıq mövcuddur"
"Fill the form and save it","Formu doldurun və yadda saxlayın"
"Filter Employees By (Optional)","İşçiləri Filtrlə (Könüllü)"
"Fiscal Year {0} not found","Maliyyə İli {0} tapılmadı"
"Food","Qida"
"For Employee","İşçi Üçün"
"From Date {0} cannot be after employee's relieving Date {1}","Başlanğıc Tarixi {0} işçinin işdən çıxma Tarixindən {1} sonra ola bilməz"
"From Date {0} cannot be before employee's joining Date {1}","Başlanğıc Tarixi {0} işçinin işə qəbul Tarixindən {1} əvvəl ola bilməz"
"From date can not be less than employee's joining date","Başlanğıc tarixi işçinin işə qəbul tarixindən az ola bilməz"
"Fuel Price","Yanacaq Qiyməti"
"Fuel Qty","Yanacaq Miqdarı"
"Full-time","Tam ştat"
"Future dates not allowed","Gələcək tarixlərə icazə verilmir"
"Get Details From Declaration","Bəyannamədən Detalları Gətir"
"Get Employees","İşçiləri Gətir"
"Gross Pay","Ümumi Ödəniş"
"Guest","Qonaq"
"Half Day","Yarım Gün"
"Half Day Date is mandatory","Yarım Gün Tarixi məcburidir"
"Half Day Date should be between From Date and To Date","Yarım Gün Tarixi Başlanğıc Tarixi və Bitiş Tarixi arasında olmalıdır"
"Half Day Date should be in between Work From Date and Work End Date","Yarım Gün Tarixi İş Başlama Tarixi və İş Bitmə Tarixi arasında olmalıdır"
"Half day date should be in between from date and to date","Yarım gün tarixi başlanğıc tarixi və bitiş tarixi arasında olmalıdır"
"Hello","Salam"
"House rent paid days overlapping with {0}","Ev kirayəsi ödənilən günlər {0} ilə üst-üstə düşür"
"House rented dates required for exemption calculation","Azadolma hesablaması üçün evin kirayə tarixləri tələb olunur"
"House rented dates should be atleast 15 days apart","Evin kirayə tarixləri arasında ən azı 15 gün fərq olmalıdır"
"Interest Amount","Faiz Məbləği"
"Intern","Təcrübəçi"
"Job Description","Vəzifə Təlimatı"
"Job Offer","İş Təklifi"
"Jobs","Vakansiyalar"
"Leave Approval Notification","Məzuniyyət Təsdiq Bildirişi"
"Leave Blocked","Məzuniyyət Bloklandı"
"Leave Encashment","Məzuniyyət Kompensasiyası"
"Leave Status Notification","Məzuniyyət Statusu Bildirişi"
"Leave Type","Məzuniyyət Növü"
"Leave Type is madatory","Məzuniyyət Növü məcburidir"
"Leave Type {0} cannot be allocated since it is leave without pay","{0} Məzuniyyət Növü təyin edilə bilməz, çünki bu ödənişsiz məzuniyyətdir"
"Leave Type {0} cannot be carry-forwarded","{0} Məzuniyyət Növü növbəti dövrə keçirilə bilməz"
"Leave Type {0} is not encashable","{0} Məzuniyyət Növü kompensasiya edilə bilməz"
"Leave Without Pay","Ödənişsiz Məzuniyyət"
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Məzuniyyət {0} tarixindən əvvəl təyin edilə bilməz, çünki məzuniyyət balansı artıq gələcək məzuniyyət təyinatı qeydində {1} növbəti dövrə keçirilib"
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Məzuniyyət {0} tarixindən əvvəl tətbiq edilə/ləğv edilə bilməz, çünki məzuniyyət balansı artıq gələcək məzuniyyət təyinatı qeydində {1} növbəti dövrə keçirilib"
"Leave of type {0} cannot be longer than {1}","{0} növündə məzuniyyət {1}-dən uzun ola bilməz"
"Leaves","Məzuniyyətlər"
"Leaves Allocated Successfully for {0}","{0} üçün Məzuniyyətlər Uğurla Təyin Edildi"
"Leaves per Year","İllik Məzuniyyətlər"
"Lifecycle","Həyat Dövrü"
"Mark Attendance","Davamiyyəti Qeyd Et"
"Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1}","Maksimum Azadolma Məbləği {1} Vergi Azadolma Kateqoriyasının maksimum azadolma məbləğindən {0} böyük ola bilməz"
"Max benefits should be greater than zero to dispense benefits","Müavinətlərin verilməsi üçün maksimum müavinətlər sıfırdan böyük olmalıdır"
"Maximum amount eligible for the component {0} exceeds {1}","{0} komponenti üçün uyğun olan maksimum məbləğ {1}-i keçir"
"Maximum benefit amount of component {0} exceeds {1}","{0} komponentinin maksimum müavinət məbləği {1}-i keçir"
"Maximum benefit amount of employee {0} exceeds {1}","{0} işçisinin maksimum müavinət məbləği {1}-i keçir"
"Maximum leave allowed in the leave type {0} is {1}","{0} məzuniyyət növündə icazə verilən maksimum məzuniyyət {1}-dir"
"Medical","Tibbi"
"Mode of payment is required to make a payment","Ödəniş etmək üçün ödəniş üsulu tələb olunur"
"More than one selection for {0} not allowed","{0} üçün birdən çox seçimə icazə verilmir"
"Net Pay","Net Ödəniş"
"Net Pay cannot be less than 0","Net Ödəniş 0-dan az ola bilməz"
"Net Salary Amount","Net Əmək Haqqı Məbləği"
"Net pay cannot be negative","Net ödəniş mənfi ola bilməz"
"No Employee Found","İşçi Tapılmadı"
"No Salary Structure assigned for Employee {0} on given date {1}","Verilən {1} tarixində İşçi {0} üçün heç bir Əmək Haqqı Strukturu təyin edilməyib"
"No Staffing Plans found for this Designation","Bu Vəzifə üçün Ştat Planı tapılmadı"
"No active or default Salary Structure found for employee {0} for the given dates","Verilən tarixlər üçün işçi {0} üçün aktiv və ya standart Əmək Haqqı Strukturu tapılmadı"
"No more updates","Başqa yeniləmə yoxdur"
"No replies from","Cavab yoxdur"
"No salary slip found to submit for the above selected criteria OR salary slip already submitted","Yuxarıda seçilmiş meyarlar üçün təqdim ediləcək əmək haqqı qəbzi tapılmadı VƏ YA əmək haqqı qəbzi artıq təqdim edilib"
"Nothing to change","Dəyişdiriləcək heç nə yoxdur"
"Notice Period","Xəbərdarlıq Müddəti"
"Only Leave Applications with status 'Approved' and 'Rejected' can be submitted","Yalnız 'Təsdiqləndi' və 'İmtina edildi' statuslu Məzuniyyət Müraciətləri təqdim edilə bilər"
"Optional Holiday List not set for leave period {0}","{0} məzuniyyət dövrü üçün Könüllü Tətil Siyahısı təyin edilməyib"
"Part-time","Yarım ştat"
"Password policy for Salary Slips is not set","Əmək Haqqı Qəbzləri üçün şifrə siyasəti təyin edilməyib"
"Payment Days","Ödəniş Günləri"
"Payment of {0} from {1} to {2}","{1}-dən {2}-ə qədər {0} ödənişi"
"Payroll","Əmək Haqqı"
"Payroll Number","Əmək Haqqı Nömrəsi"
"Piecework","İşəmuzd"
"Please add the remaining benefits {0} to any of the existing component","Zəhmət olmasa qalan {0} müavinətlərini mövcud komponentlərdən hər hansı birinə əlavə edin"
"Please confirm once you have completed your training","Təliminizi tamamladıqdan sonra təsdiqləyin"
"Please enable default incoming account before creating Daily Work Summary Group","Zəhmət olmasa Gündəlik İş Xülasəsi Qrupu yaratmazdan əvvəl standart gəlir hesabını aktivləşdirin"
"Please select Company and Designation","Zəhmət olmasa Şirkət və Vəzifə seçin"
"Please select Employee","Zəhmət olmasa İşçi seçin"
"Please select a csv file","Zəhmət olmasa bir csv faylı seçin"
"Please set default template for Leave Approval Notification in HR Settings.","Zəhmət olmasa HR Parametrlərində Məzuniyyət Təsdiq Bildirişi üçün standart şablon təyin edin."
"Please set default template for Leave Status Notification in HR Settings.","Zəhmət olmasa HR Parametrlərində Məzuniyyət Statusu Bildirişi üçün standart şablon təyin edin."
"Please set the Company","Zəhmət olmasa Şirkəti təyin edin"
"Please set the Date Of Joining for employee {0}","Zəhmət olmasa işçi {0} üçün İşə Qəbul Tarixini təyin edin"
"Please share your feedback to the training by clicking on 'Training Feedback' and then 'New'","Zəhmət olmasa 'Təlim Rəyi'nə və sonra 'Yeni'yə klikləyərək təlim haqqında rəyinizi bildirin"
"Please update your status for this training event","Zəhmət olmasa bu təlim tədbiri üçün statusunuzu yeniləyin"
"Present","İştirak edir"
"Preview Salary Slip","Əmək Haqqı Qəbzinə Baxış"
"Privilege Leave","İmtiyazlı Məzuniyyət"
"Probation","Sınaq Müddəti"
"Probationary Period","Sınaq Müddəti"
"Property","Xüsusiyyət"
"Property already added","Xüsusiyyət artıq əlavə edilib"
"Replies","Cavablar"
"Responsibilities","Vəzifələr"
"Role","Rol"
"Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2}","Sətir {0}# Təyin edilmiş məbləğ {1} tələb olunmamış məbləğdən {2} böyük ola bilməz"
"Row {0}# Paid Amount cannot be greater than requested advance amount","Sətir {0}# Ödənilən Məbləğ tələb olunan avans məbləğindən böyük ola bilməz"
"Salary Slip ID","Əmək Haqqı Qəbzi ID"
"Salary Slip of employee {0} already created for this period","İşçi {0} üçün bu dövrə aid Əmək Haqqı Qəbzi artıq yaradılıb"
"Salary Slip of employee {0} already created for time sheet {1}","İşçi {0} üçün vaxt cədvəli {1} üzrə Əmək Haqqı Qəbzi artıq yaradılıb"
"Salary Structure Assignment for Employee already exists","İşçi üçün Əmək Haqqı Strukturu Təyinatı artıq mövcuddur"
"Salary Structure Missing","Əmək Haqqı Strukturu Çatışmır"
"Salary Structure not found for employee {0} and date {1}","İşçi {0} və tarix {1} üçün Əmək Haqqı Strukturu tapılmadı"
"Salary Structure should have flexible benefit component(s) to dispense benefit amount","Müavinət məbləğini vermək üçün Əmək Haqqı Strukturunda çevik müavinət komponent(lər)i olmalıdır"
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","{0} və {1} tarixləri arasındakı dövr üçün maaş artıq emal edilib, Məzuniyyət müraciəti dövrü bu tarix aralığında ola bilməz."
"Sanctioned Amount cannot be greater than Claim Amount in Row {0}.","Səlahiyyətli Məbləğ Sətir {0}-də Tələb Edilən Məbləğdən böyük ola bilməz."
"Score must be less than or equal to 5","Bal 5-dən az və ya bərabər olmalıdır"
"Select Property","Xüsusiyyət Seçin"
"Select an employee to get the employee advance.","İşçi avansı almaq üçün bir işçi seçin."
"Service Expense","Xidmət Xərci"
"Show Employee","İşçini Göstər"
"Show Salary Slip","Əmək Haqqı Qəbzini Göstər"
"Sick Leave","Xəstəlik Məzuniyyəti"
"Skipping Salary Structure Assignment for the following employees, as Salary Structure Assignment records already exists against them. {0}","Aşağıdakı işçilər üçün Əmək Haqqı Strukturu Təyinatı buraxılır, çünki onlara qarşı Əmək Haqqı Strukturu Təyinatı qeydləri artıq mövcuddur. {0}"
"Staffing Plan {0} already exist for designation {1}","{1} vəzifəsi üçün Ştat Planı {0} artıq mövcuddur"
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Başlanğıc və bitiş tarixləri etibarlı Maaş Dövründə deyil, {0} hesablana bilmir"
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.","Başlanğıc və bitiş tarixləri etibarlı Maaş Dövründə deyil, {0} hesablana bilmir."
"Stock Options","Səhm Opsionları"
"Structures have been assigned successfully","Strukturlar uğurla təyin edildi"
"Submit Proof","Sübut Təqdim Et"
"Submit Salary Slip","Əmək Haqqı Qəbzini Təqdim Et"
"Submit this to create the Employee record","İşçi qeydini yaratmaq üçün bunu təqdim edin"
"Submitting Salary Slips...","Əmək Haqqı Qəbzləri təqdim edilir..."
"Team Updates","Komanda Yeniləmələri"
"Thank you","Təşəkkür edirik"
"The day(s) on which you are applying for leave are holidays. You need not apply for leave.","Məzuniyyət üçün müraciət etdiyiniz gün(lər) tətildir. Məzuniyyət üçün müraciət etməyə ehtiyac yoxdur."
"There are more holidays than working days this month.","Bu ay iş günlərindən daha çox tətil var."
"There is no leave period in between {0} and {1}","{0} və {1} arasında heç bir məzuniyyət dövrü yoxdur"
"This is based on the attendance of this Employee","Bu, bu İşçinin davamiyyətinə əsaslanır"
"This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?","Bu, Əmək Haqqı Qəbzlərini təqdim edəcək və hesablama Jurnalı Qeydi yaradacaq. Davam etmək istəyirsiniz?"
"To date can not be equal or less than from date","Bitiş tarixi başlanğıc tarixindən bərabər və ya az ola bilməz"
"To date can not be less than from date","Bitiş tarixi başlanğıc tarixindən az ola bilməz"
"To date can not greater than employee's relieving date","Bitiş tarixi işçinin işdən çıxma tarixindən böyük ola bilməz"
"Total Absent","Cəmi Qayıb"
"Total Deduction","Cəmi Tutulma"
"Total Leaves","Cəmi Məzuniyyətlər"
"Total Present","Cəmi İştirak"
"Total advance amount cannot be greater than total sanctioned amount","Cəmi avans məbləği cəmi səlahiyyətli məbləğdən böyük ola bilməz"
"Total flexible benefit component amount {0} should not be less than max benefits {1}","Cəmi çevik müavinət komponenti məbləği {0} maksimum müavinətlərdən {1} az olmamalıdır"
"Total leaves allocated is mandatory for Leave Type {0}","{0} Məzuniyyət Növü üçün cəmi təyin edilmiş məzuniyyətlər məcburidir"
"Total working hours should not be greater than max working hours {0}","Cəmi iş saatları maksimum iş saatlarından {0} çox olmamalıdır"
"Training","Təlim"
"Training Event","Təlim Tədbiri"
"Training Events","Təlim Tədbirləri"
"Training Feedback","Təlim Rəyi"
"Training Result","Təlim Nəticəsi"
"Travel","Səyahət"
"Update Response","Cavabı Yenilə"
"Value missing","Dəyər çatışmır"
"Variable","Dəyişən"
"Walk In","Gəliş"
"Warning: Leave application contains following block dates","Xəbərdarlıq: Məzuniyyət müraciətində aşağıdakı blok tarixləri var"
"Website Listing","Vebsayt Siyahısı"
"Work Summary for {0}","{0} üçün İş Xülasəsi"
"You are not authorized to approve leaves on Block Dates","Blok Tarixlərində məzuniyyətləri təsdiqləmək səlahiyyətiniz yoxdur"
"You are not present all day(s) between compensatory leave request days","Siz kompensasiya məzuniyyəti tələbi günləri arasında bütün gün(lər)də iştirak etmirsiniz"
"You can only submit Leave Encashment for a valid encashment amount","Siz yalnız etibarlı kompensasiya məbləği üçün Məzuniyyət Kompensasiyası təqdim edə bilərsiniz"
"{0} already allocated for Employee {1} for period {2} to {3}","{0} artıq {1} İşçisi üçün {2} - {3} dövrü üzrə təyin edilib"
"{0} applicable after {1} working days","{0}, {1} iş günündən sonra tətbiq olunur"
"{0} is not in Optional Holiday List","{0} Könüllü Tətil Siyahısında deyil"
"{0} is not in a valid Payroll Period","{0} etibarlı Maaş Dövründə deyil"
"{0} must be submitted","{0} təqdim edilməlidir"
"{0}: Employee email not found, hence email not sent","{0}: İşçi e-poçtu tapılmadı, buna görə e-poçt göndərilmədi"
"{0}: From {0} of type {1}","{0}: {0}-dan {1} növündə"
"Conditions","Şərtlər"
"Percent","Faiz"
"Error in some rows","Bəzi sətirlərdə xəta"
"Benefit","Müavinət"
"Shift","Növbə"
"Importing {0} of {1}","{0} / {1} idxal edilir"
"'employee_field_value' and 'timestamp' are required.","'employee_field_value' və 'timestamp' tələb olunur."
"Allocation Expired!","Təyinatın Vaxtı Bitdi!"
"Attendance Marked","Davamiyyət Qeyd Edildi"
"Attendance has been marked as per employee check-ins","Davamiyyət işçi girişlərinə əsasən qeyd edilib"
"Date Range","Tarix Aralığı"
"Event Link","Tədbir Linki"
"Expire Allocation","Təyinatın Vaxtını Bitir"
"Fuel Expense","Yanacaq Xərci"
"Intermediate","Orta Səviyyə"
"Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay","Məzuniyyət müraciəti {0} məzuniyyət təyinatları ilə əlaqələndirilib. Məzuniyyət müraciəti ödənişsiz məzuniyyət kimi təyin edilə bilməz"
"Log Type is required for check-ins falling in the shift: {0}.","{0} növbəsinə düşən girişlər üçün Log Növü tələb olunur."
"No Employee found for the given employee field value. '{}': {}","Verilən işçi sahə dəyəri üçün İşçi tapılmadı. '{}': {}"
"No Leaves Allocated to Employee: {0} for Leave Type: {1}","İşçi: {0} üçün Məzuniyyət Növü: {1} üzrə Məzuniyyət Təyin Edilməyib"
"Only expired allocation can be cancelled","Yalnız vaxtı bitmiş təyinat ləğv edilə bilər"
"Only users with the {0} role can create backdated leave applications","Yalnız {0} rolu olan istifadəçilər geri tarixli məzuniyyət müraciətləri yarada bilər"
"Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically","Şifrə siyasətində boşluqlar və ya eyni vaxtda defislər ola bilməz. Format avtomatik olaraq yenidən qurulacaq"
"Please enter the designation","Zəhmət olmasa vəzifəni daxil edin"
"There are no vacancies under staffing plan {0}","{0} ştat planı üzrə vakansiya yoxdur"
"This employee already has a log with the same timestamp.{0}","Bu işçinin artıq eyni zaman damğası ilə qeydi var.{0}"
"Timing","Vaxt"
"To date needs to be before from date","Bitiş tarixi başlanğıc tarixindən əvvəl olmalıdır"
"Total Early Exits","Cəmi Erkən Çıxışlar"
"Total Late Entries","Cəmi Gecikmə Girişləri"
"Training Event:","Təlim Tədbiri:"
"Unable to find Salary Component {0}","Əmək Haqqı Komponenti {0} tapılmadı"
"Unmarked Attendance for days","Günlər üçün Qeyd Edilməmiş Davamiyyət"
"Vacancies cannot be lower than the current openings","Vakansiyalar cari açıq yerlərdən az ola bilməz"
"{} is an invalid Attendance Status.","{} etibarsız Davamiyyət Statusudur."
"Printed On","Çap Edilib"
"No employee found","İşçi tapılmadı"
"Please setup Employee Naming System in Human Resource > HR Settings","Zəhmət olmasa İnsan Resursları > HR Parametrlərində İşçi Adlandırma Sistemini quraşdırın"
"Please setup numbering series for Attendance via Setup > Numbering Series","Zəhmət olmasa Quraşdırma > Nömrələmə Seriyası vasitəsilə Davamiyyət üçün nömrələmə seriyasını quraşdırın"
"Current Odometer Value should be greater than Last Odometer Value {0}","Cari Odometr Dəyəri Son Odometr Dəyərindən {0} böyük olmalıdır"
"No additional expenses has been added","Heç bir əlavə xərc əlavə edilməyib"
"{0} already exists for employee {1} and period {2}","{1} işçisi və {2} dövrü üçün {0} artıq mövcuddur"
"Leaves Allocated","Təyin Edilmiş Məzuniyyətlər"
"Leave Without Pay does not match with approved {} records","Ödənişsiz Məzuniyyət təsdiqlənmiş {} qeydləri ilə uyğun gəlmir"
"Income Tax Slab not set in Salary Structure Assignment: {0}","Əmək Haqqı Strukturu Təyinatında Gəlir Vergisi Tablosu təyin edilməyib: {0}"
"Income Tax Slab: {0} is disabled","Gəlir Vergisi Tablosu: {0} deaktiv edilib"
"Income Tax Slab must be effective on or before Payroll Period Start Date: {0}","Gəlir Vergisi Tablosu Maaş Dövrü Başlanğıc Tarixində: {0} və ya ondan əvvəl qüvvədə olmalıdır"
"No leave record found for employee {0} on {1}","{0} işçisi üçün {1} tarixində heç bir məzuniyyət qeydi tapılmadı"
"Row {0}: {1} is required in the expenses table to book an expense claim.","Sətir {0}: Xərc tələbini qeyd etmək üçün xərclər cədvəlində {1} tələb olunur."
"Set the default account for the {0} {1}","{0} {1} üçün standart hesabı təyin edin"
"(Half Day)","(Yarım Gün)"
"Income Tax Slab","Gəlir Vergisi Tablosu"
"Row #{0}: Cannot set amount or formula for Salary Component {1} with Variable Based On Taxable Salary","Sətir #{0}: Vergi Tutulan Maaşa Əsaslanan Dəyişən ilə {1} Əmək Haqqı Komponenti üçün məbləğ və ya düstur təyin edilə bilməz"
"Repay From Salary can be selected only for term loans","Maaşdan Geri Ödəniş yalnız müddətli kreditlər üçün seçilə bilər"
"Salary Component Account","Əmək Haqqı Komponenti Hesabı"
"Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.","Bu rejim seçildikdə Standart Bank / Kass hesab avtomatik olaraq Maaş Jurnalı Qeydində yenilənəcək."
"Result","Nəticə"
"Total Score","Ümumi Bal"
"Joining Date","İşə Qəbul Tarixi"
"Publish on website","Vebsaytda dərc et"
"Application Status","Müraciət Statusu"
"IN","GİRİŞ"
"Remind Before","Əvvəl Xatırlat"
"Reminded","Xatırladıldı"
"Additional Salary","Əlavə Əmək Haqqı"
"HR-ADS-.YY.-.MM.-","HR-ADS-.YY.-.MM.-"
"Salary Component","Maaş Komponenti"
"Overwrite Salary Structure Amount","Maaş strukturu məbləğini üzərinə yaz"
"Deduct Full Tax on Selected Payroll Date","Seçilmiş maaş tarixində tam vergini tut"
"Payroll Date","Maaş Tarixi"
"Salary Component Type","Maaş Komponenti Növü"
"Appointment Letter","Təyinat Məktubu"
"Appointment Date","Təyinat Tarixi"
"Appointment Letter Template","Təyinat Məktubu Şablonu"
"Closing Notes","Bağlanış Qeydləri"
"Appointment Letter content","Təyinat Məktubu Məzmunu"
"Appraisal","Qiymətləndirmə"
"HR-APR-.YY.-.MM.","HR-APR-.YY.-.MM."
"For Employee Name","İşçi Adı Üçün"
"Goals","Hədəflər"
"Total Score (Out of 5)","Ümumi Bal (5-dən)"
"Any other remarks, noteworthy effort that should go in the records.","Qeydlərə daxil edilməli olan hər hansı digər qeydlər, diqqətəlayiq səylər."
"Appraisal Goal","Qiymətləndirmə Hədəfi"
"Key Responsibility Area","Əsas Məsuliyyət Sahəsi"
"Weightage (%)","Çəki (%)"
"Score (0-5)","Bal (0-5)"
"Score Earned","Qazanılan Bal"
"Appraisal Template Title","Qiymətləndirmə Şablonu Başlığı"
"Appraisal Template Goal","Qiymətləndirmə Şablonu Hədəfi"
"KRA","Əsas Məsuliyyət Sahəsi (KRA)"
"Key Performance Area","Əsas Fəaliyyət Sahəsi"
"HR-ATT-.YYYY.-","HR-ATT-.YYYY.-"
"On Leave","Məzuniyyətdə"
"Work From Home","Evdən İş"
"Leave Application","Məzuniyyət Müraciəti"
"Attendance Date","Davamiyyət Tarixi"
"Attendance Request","Davamiyyət Sorğusu"
"Late Entry","Gec Giriş"
"Early Exit","Erkən Çıxış"
"Half Day Date","Yarım Gün Tarixi"
"On Duty","Növbədə"
"Explanation","İzah"
"Compensatory Leave Request","Kompensasiya Məzuniyyəti Sorğusu"
"Leave Allocation","Məzuniyyət Təyinatı"
"Worked On Holiday","Bayramda İşləyib"
"Work From Date","İş Başlama Tarixi"
"Work End Date","İş Bitmə Tarixi"
"Email Sent To","E-poçt Göndərildi"
"Select Users","İstifadəçiləri Seçin"
"Send Emails At","E-poçtları Göndər"
"Reminder","Xatırlatma"
"Daily Work Summary Group User","Gündəlik İş Xülasəsi Qrupu İstifadəçisi"
"email","e-poçt"
"Department Approver","Şöbə Təsdiqləyicisi"
"Approver","Təsdiqləyici"
"Designation Skill","Vəzifə Bacarığı"
"Skill","Bacarıq"
"Leave Policy","Məzuniyyət Siyasəti"
"Salary Details","Maaş Təfərrüatları"
"HR-EAD-.YYYY.-","HR-EAD-.YYYY.-"
"Claimed","Tələb Edilib"
"Employee Attendance Tool","İşçi Davamiyyət Aləti"
"Unmarked Attendance","Qeyd Edilməmiş Davamiyyət"
"Employees HTML","İşçilər HTML"
"Marked Attendance","Qeyd Edilmiş Davamiyyət"
"Marked Attendance HTML","Qeyd Edilmiş Davamiyyət HTML"
"Employee Benefit Application","İşçi Müavinəti Müraciəti"
"Max Benefits (Yearly)","Maksimum Müavinətlər (İllik)"
"Remaining Benefits (Yearly)","Qalan Müavinətlər (İllik)"
"Payroll Period","Maaş Dövrü"
"Dispensed Amount (Pro-rated)","Verilən Məbləğ (Mütənasib)"
"Employee Benefit Application Detail","İşçi Müavinəti Müraciəti Təfərrüatı"
"Earning Component","Qazanc Komponenti"
"Pay Against Benefit Claim","Müavinət Tələbi Qarşılığında Ödəniş"
"Max Benefit Amount","Maksimum Müavinət Məbləği"
"Employee Benefit Claim","İşçi Müavinəti Tələbi"
"Claim Date","Tələb Tarixi"
"Claim Benefit For","Müavinət Tələb Et"
"Max Amount Eligible","Maksimum Uyğun Məbləğ"
"Expense Proof","Xərc Sübutu"
"Employee Boarding Activity","İşçi Qəbulu Fəaliyyəti"
"Activity Name","Fəaliyyət Adı"
"Required for Employee Creation","İşçi Yaradılması üçün Tələb Olunur"
"Applicable in the case of Employee Onboarding","İşçi Qəbulu zamanı tətbiq olunur"
"Employee Checkin","İşçi Girişi"
"Log Type","Giriş Növü"
"OUT","ÇIXIŞ"
"Location / Device ID","Məkan / Cihaz İD"
"Skip Auto Attendance","Avtomatik Davamiyyəti Keç"
"Shift Start","Növbə Başlanğıcı"
"Shift End","Növbə Bitişi"
"Shift Actual Start","Növbə Faktiki Başlanğıcı"
